Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-10-14;11:30:00 - 12:00:00;A-15;[A-15] 69-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 167,000, A-15 pk 169,300;Lento ANDOAIN;0;110;124;2;84,03;104;132;236;
2025-10-14;11:30:00 - 12:00:00;A-15;[A-15] 69-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 167,000, A-15 pk 169,300;Rápido ANDOAIN;1;10;210;28;102,79;242;7;249;
2025-10-14;11:30:00 - 12:00:00;A-15;[A-15] 69-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 167,000, A-15 pk 169,300;Central ANDOAIN;0;66;325;18;96,11;337;72;409;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Lento A LA GI-41;16;330;43;0;67,22;331;58;389;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Central A LA GI-41;1;49;104;0;88,38;150;4;154;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Lento ROTONDA GARBERA;2;337;34;0;67,98;330;43;373;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Central ROTONDA GARBERA;0;45;53;0;83,93;96;2;98;
2025-10-14;11:30:00 - 12:00:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Central NAVARRA;123;6;0;0;26,86;110;19;129;
2025-10-14;11:30:00 - 12:00:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Lento NAVARRA;108;8;0;0;27,76;103;13;116;
2025-10-14;11:30:00 - 12:00:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Lento BEHOBIA, GI-636;151;13;0;0;28,17;152;12;164;
2025-10-14;11:30:00 - 12:00:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Central BEHOBIA, GI-636;30;18;0;0;40;45;3;48;
2025-10-14;11:30:00 - 12:00:00;GI-627;[GI-627] 52-ETD ARABA-EIBAR, GI-627 pk 19,300, GI-627 pk 27,200;Lento EIBAR;4;8;1;0;55,38;10;3;13;
2025-10-14;11:30:00 - 12:00:00;GI-627;[GI-627] 52-ETD ARABA-EIBAR, GI-627 pk 19,300, GI-627 pk 27,200;Lento ARABA;3;10;1;0;58,93;11;3;14;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 12-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 436,800, N-I pk 444,700;Lento LASARTE-ORIA;0;57;412;14;97,03;340;143;483;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 12-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 436,800, N-I pk 444,700;Central VITORIA-GASTEIZ;1;4;255;25;102,75;263;22;285;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 12-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 436,800, N-I pk 444,700;Lento VITORIA-GASTEIZ;0;56;389;6;96,19;269;182;451;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 12-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 436,800, N-I pk 444,700;Central LASARTE-ORIA;0;0;176;31;105,99;196;11;207;
2025-10-14;11:30:00 - 12:00:00;GI-3591;[GI-3591] 206-ETD ARANTZAZU-OÑATI, GI-3591 pk 0,000, GI-3591 pk 2,900;Lento OÑATI;29;2;0;0;27,58;29;2;31;
2025-10-14;11:30:00 - 12:00:00;GI-3591;[GI-3591] 206-ETD ARANTZAZU-OÑATI, GI-3591 pk 0,000, GI-3591 pk 2,900;Lento ARANTZAZU;14;4;0;0;33,89;17;1;18;
2025-10-14;11:30:00 - 12:00:00;AP-636;[AP-636] 170-ETD BEASAIN-BERGARA, AP-636 pk 2,800, AP-636 pk 5,000;Lento BERGARA;0;18;190;22;101,09;168;62;230;
2025-10-14;11:30:00 - 12:00:00;AP-636;[AP-636] 170-ETD BEASAIN-BERGARA, AP-636 pk 2,800, AP-636 pk 5,000;Central BERGARA;0;0;44;16;110,67;59;1;60;
2025-10-14;11:30:00 - 12:00:00;AP-636;[AP-636] 170-ETD BEASAIN-BERGARA, AP-636 pk 2,800, AP-636 pk 5,000;Lento BEASAIN;0;18;239;29;101,85;207;79;286;
2025-10-14;11:30:00 - 12:00:00;AP-636;[AP-636] 170-ETD BEASAIN-BERGARA, AP-636 pk 2,800, AP-636 pk 5,000;Central BEASAIN;0;0;41;13;109,63;52;2;54;
2025-10-14;11:30:00 - 12:00:00;GI-3630;[GI-3630] 190-ETD ASTEASU-ANOETA, GI-3630 pk 0,000, GI-3630 pk 9,000;Lento ANOETA;3;8;0;0;54,09;10;1;11;
2025-10-14;11:30:00 - 12:00:00;GI-3630;[GI-3630] 190-ETD ASTEASU-ANOETA, GI-3630 pk 0,000, GI-3630 pk 9,000;Lento ASTEASU;6;3;0;0;38,33;7;2;9;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 1-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 1,000;Central LASARTE-ORIA;15;76;4;0;60,16;89;6;95;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 1-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 1,000;Lento LASARTE-ORIA;71;170;6;0;54,35;221;26;247;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 1-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 1,000;Lento ASTIGARRAGA;92;245;2;0;54,35;304;35;339;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 93-ETD ASTIGARRAGA-ERRENTERIA, GI-2132 pk 10,100, GI-2132 pk 15,200;Lento ERRENTERIA;11;74;9;0;63,67;68;26;94;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 93-ETD ASTIGARRAGA-ERRENTERIA, GI-2132 pk 10,100, GI-2132 pk 15,200;Lento ASTIGARRAGA;4;70;14;0;68,75;66;22;88;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Lento FRANCIA;146;3;0;0;25,81;138;11;149;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Central FRANCIA;27;3;0;0;29;29;1;30;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Lento IRUN;152;0;0;0;25;123;29;152;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 256-ETD FRANCIA-IRUN, GI-636 pk 17,000, GI-636 pk 17,300;Central IRUN;1;0;0;0;25;1;0;1;
2025-10-14;11:30:00 - 12:00:00;GI-627;[GI-627] 112-ETD ARABA-EIBAR, GI-627 pk 27,200, GI-627 pk 37,000;Lento ARABA;0;106;49;0;76,06;136;19;155;
2025-10-14;11:30:00 - 12:00:00;GI-627;[GI-627] 112-ETD ARABA-EIBAR, GI-627 pk 27,200, GI-627 pk 37,000;Lento EIBAR;0;68;58;0;81,11;103;23;126;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Lento USURBIL, AP-8;4;374;225;0;77,79;541;62;603;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Central USURBIL, AP-8;0;39;243;1;95,32;247;36;283;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Central ERRENTERIA AP-8;0;72;213;4;91,83;259;30;289;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Rápido ERRENTERIA AP-8;0;1;56;2;100,76;57;2;59;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Lento ERRENTERIA AP-8;11;358;268;1;79,13;551;87;638;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Rápido USURBIL, AP-8;0;1;113;5;101,39;114;5;119;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 71-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 1,000, GI-2132 pk 2,500;Lento ASTIGARRAGA;100;177;1;0;50,74;249;29;278;
2025-10-14;11:30:00 - 12:00:00;GI-2132;[GI-2132] 71-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 1,000, GI-2132 pk 2,500;Lento LASARTE-ORIA;109;142;1;0;47,84;233;19;252;
2025-10-14;11:30:00 - 12:00:00;AP-8;[AP-8] 257-ETD FRANCIA-BILBAO, AP-8 pk 0,000, AP-8 pk 0,500;Central FRANCIA;1;39;67;0;86,54;97;10;107;
2025-10-14;11:30:00 - 12:00:00;AP-8;[AP-8] 257-ETD FRANCIA-BILBAO, AP-8 pk 0,000, AP-8 pk 0,500;Lento FRANCIA;15;274;29;0;66,31;156;162;318;
2025-10-14;11:30:00 - 12:00:00;GI-3440;[GI-3440] 77-ETD LEZO-HONDARRIBIA, GI-3440 pk 0,000, GI-3440 pk 19,100;Lento HONDARRIBIA;38;0;0;0;25;35;3;38;
2025-10-14;11:30:00 - 12:00:00;AP-8;[AP-8] 257-ETD FRANCIA-BILBAO, AP-8 pk 0,000, AP-8 pk 0,500;Lento BILBAO;29;222;27;0;64,23;73;205;278;
2025-10-14;11:30:00 - 12:00:00;AP-8;[AP-8] 257-ETD FRANCIA-BILBAO, AP-8 pk 0,000, AP-8 pk 0,500;Central BILBAO;1;54;54;1;82,5;90;20;110;
2025-10-14;11:30:00 - 12:00:00;GI-3440;[GI-3440] 77-ETD LEZO-HONDARRIBIA, GI-3440 pk 0,000, GI-3440 pk 19,100;Lento LEZO;33;0;0;0;25;30;3;33;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Lento LASARTE-ORIA;0;38;343;9;97,51;251;139;390;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Central LASARTE-ORIA;0;1;128;21;105,37;138;12;150;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Lento VITORIA-GASTEIZ;0;77;344;4;94,04;253;172;425;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Central VITORIA-GASTEIZ;2;1;143;20;103,7;150;16;166;
2025-10-14;11:30:00 - 12:00:00;N-636;[N-636] 133-ETD BIZKAIA-BERGARA, N-636 pk 29,700, N-636 pk 34,000;Lento BIZKAIA;2;72;3;0;65,32;47;30;77;
2025-10-14;11:30:00 - 12:00:00;N-636;[N-636] 133-ETD BIZKAIA-BERGARA, N-636 pk 29,700, N-636 pk 34,000;Lento BERGARA;23;61;2;0;55,12;51;35;86;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Rápido ERRENTERIA AP-8;0;15;196;3;98,11;208;6;214;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Lento ERRENTERIA AP-8;1;38;118;2;91,67;152;7;159;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Central ERRENTERIA AP-8;1;256;307;2;84,18;474;92;566;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Central USURBIL, AP-8;1;63;230;1;92,41;280;15;295;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Rápido USURBIL, AP-8;0;80;104;0;84,78;165;19;184;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000;Lento USURBIL, AP-8;1;203;224;2;83,49;370;60;430;
2025-10-14;11:30:00 - 12:00:00;GI-2632;[GI-2632] 87-ETD BIZKAIA-BEASAIN, GI-2632 pk 5,900, GI-2632 pk 9,700;Lento BEASAIN;6;56;7;0;65,07;54;15;69;
2025-10-14;11:30:00 - 12:00:00;GI-2632;[GI-2632] 87-ETD BIZKAIA-BEASAIN, GI-2632 pk 5,900, GI-2632 pk 9,700;Lento BIZKAIA;5;46;7;0;65,78;48;10;58;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Lento IRUN;83;82;0;0;44,88;125;40;165;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Central IRUN;2;345;37;0;68,16;329;55;384;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Lento PASAIA;203;55;0;0;33,53;221;37;258;
2025-10-14;11:30:00 - 12:00:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Central PASAIA;4;410;51;0;68,49;421;44;465;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Lento A LA GI-20;0;121;105;1;81,52;202;25;227;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Central A LA GI-20;0;5;33;3;98,66;39;2;41;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Central ENLACE HOSPITAL;0;2;17;2;100,48;19;2;21;
2025-10-14;11:30:00 - 12:00:00;GI-40;[GI-40] 316-ETD ENLACE HOSPITAL-A LA GI-20, GI-40 pk 3,000, GI-40 pk 3,800;Lento ENLACE HOSPITAL;0;33;225;8;96,86;236;30;266;
2025-10-14;11:30:00 - 12:00:00;GI-3420;[GI-3420] 191-ETD ALTO ARITXULEGI-OIARTZUN, GI-3420 pk 0,000, GI-3420 pk 8,700;Lento OIARTZUN;8;6;0;0;42,14;12;2;14;
2025-10-14;11:30:00 - 12:00:00;GI-3420;[GI-3420] 191-ETD ALTO ARITXULEGI-OIARTZUN, GI-3420 pk 0,000, GI-3420 pk 8,700;Lento ALTO ARITXULEGI;5;5;0;0;45;9;1;10;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Central ERRENTERIA AP-8;52;607;3;0;62,02;571;91;662;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Rápido ERRENTERIA AP-8;2;219;4;0;65,27;217;8;225;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Lento USURBIL, AP-8;10;328;77;0;70,53;392;23;415;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Central USURBIL, AP-8;0;182;272;4;86,44;383;75;458;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Rápido USURBIL, AP-8;0;10;206;9;100,04;209;16;225;
2025-10-14;11:30:00 - 12:00:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Lento ERRENTERIA AP-8;11;186;3;0;63,33;187;13;200;
2025-10-14;11:30:00 - 12:00:00;A-15;[A-15] 134-ETD NAVARRA-ANDOAIN, A-15 pk 139,800, A-15 pk 156,700;Lento NAVARRA;153;24;0;0;30,42;135;42;177;
2025-10-14;11:30:00 - 12:00:00;A-15;[A-15] 134-ETD NAVARRA-ANDOAIN, A-15 pk 139,800, A-15 pk 156,700;Lento ANDOAIN;6;198;5;0;64,69;143;66;209;
2025-10-14;11:30:00 - 12:00:00;A-15;[A-15] 134-ETD NAVARRA-ANDOAIN, A-15 pk 139,800, A-15 pk 156,700;Central NAVARRA;0;1;0;0;65;0;1;1;
2025-10-14;11:30:00 - 12:00:00;N-638;[N-638] 128-ETD HONDARRIBIA-IRUN, N-638 pk 0,000, N-638 pk 1,000;Lento IRUN;2;169;63;0;74,08;205;29;234;
2025-10-14;11:30:00 - 12:00:00;N-638;[N-638] 128-ETD HONDARRIBIA-IRUN, N-638 pk 0,000, N-638 pk 1,000;Lento HONDARRIBIA;20;228;12;1;63,83;237;24;261;
2025-10-14;11:30:00 - 12:00:00;GI-2630;[GI-2630] 9259-ETD URRETXU-BERGARA, GI-2630 pk 0,200, GI-2630 pk 3,600;Lento BERGARA;4;97;35;1;73,32;114;23;137;
2025-10-14;11:30:00 - 12:00:00;GI-2630;[GI-2630] 9259-ETD URRETXU-BERGARA, GI-2630 pk 0,200, GI-2630 pk 3,600;Lento URRETXU;8;101;31;0;70,46;118;22;140;
2025-10-14;11:30:00 - 12:00:00;GI-2632;[GI-2632] 9159-ETD BEASAIN-BIZKAIA, GI-2632 pk 14,100, GI-2632 pk 17,200;Lento BIZKAIA;1;13;0;0;62,14;12;2;14;
2025-10-14;11:30:00 - 12:00:00;GI-2632;[GI-2632] 9159-ETD BEASAIN-BIZKAIA, GI-2632 pk 14,100, GI-2632 pk 17,200;Lento BEASAIN;3;12;0;0;57;14;1;15;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Central LASARTE-ORIA;0;3;58;6;102,01;57;10;67;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Lento LASARTE-ORIA;0;59;345;5;95,44;282;127;409;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Lento VITORIA-GASTEIZ;0;35;263;7;96,9;150;155;305;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Central VITORIA-GASTEIZ;0;1;97;7;102,33;86;19;105;
2025-10-14;11:30:00 - 12:00:00;GI-2630;[GI-2630] 82-ETD URRETXU-BERGARA, GI-2630 pk 13,800, GI-2630 pk 20,200;Lento BERGARA;8;20;2;0;56,67;26;4;30;
2025-10-14;11:30:00 - 12:00:00;GI-2630;[GI-2630] 82-ETD URRETXU-BERGARA, GI-2630 pk 13,800, GI-2630 pk 20,200;Lento URRETXU;6;26;1;0;58,79;29;4;33;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 111-ETD LASARTE-ORIA-VITORIA-GASTEIZ, N-I pk 417,900, N-I pk 426,300;Lento VITORIA-GASTEIZ;0;23;313;9;98,71;186;159;345;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 111-ETD LASARTE-ORIA-VITORIA-GASTEIZ, N-I pk 417,900, N-I pk 426,300;Central VITORIA-GASTEIZ;0;1;130;42;109,51;157;16;173;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 111-ETD LASARTE-ORIA-VITORIA-GASTEIZ, N-I pk 417,900, N-I pk 426,300;Lento LASARTE-ORIA;1;62;296;21;96,3;242;138;380;
2025-10-14;11:30:00 - 12:00:00;N-I;[N-I] 111-ETD LASARTE-ORIA-VITORIA-GASTEIZ, N-I pk 417,900, N-I pk 426,300;Central LASARTE-ORIA;1;3;121;21;104,52;135;11;146;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 252-ETD IRUN-PASAIA, GI-636 pk 2,600, GI-636 pk 4,500;Lento IRUN;4;0;0;0;25;0;4;4;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 252-ETD IRUN-PASAIA, GI-636 pk 2,600, GI-636 pk 4,500;Central IRUN;5;570;85;0;69,2;604;56;660;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 252-ETD IRUN-PASAIA, GI-636 pk 2,600, GI-636 pk 4,500;Lento PASAIA;11;595;31;0;66,01;587;50;637;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 103-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 12,500, GI-636 pk 15,300;Lento PTE. BEHOBIA;71;303;6;0;58,08;354;26;380;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 103-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 12,500, GI-636 pk 15,300;Lento PASAIA;46;310;11;0;61,04;331;36;367;
2025-10-14;12:00:00 - 12:30:00;GI-631;[GI-631] 58-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 8,200, GI-631 pk 13,500;Lento ZUMARRAGA;1;123;32;0;71,92;142;14;156;
2025-10-14;12:00:00 - 12:30:00;GI-631;[GI-631] 58-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 8,200, GI-631 pk 13,500;Lento ZUMAIA;0;100;46;0;76,03;124;22;146;
2025-10-14;12:00:00 - 12:30:00;GI-11;[GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500;Lento N-I;4;148;5;0;65,1;136;21;157;
2025-10-14;12:00:00 - 12:30:00;GI-11;[GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500;Rápido A LA GI-20;0;37;125;3;92,88;154;11;165;
2025-10-14;12:00:00 - 12:30:00;GI-11;[GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500;Central A LA GI-20;7;281;161;0;76,93;374;75;449;
2025-10-14;12:00:00 - 12:30:00;GI-11;[GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500;Lento A LA GI-20;49;95;0;0;51,39;119;25;144;
2025-10-14;12:00:00 - 12:30:00;GI-11;[GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500;Rápido N-I;0;34;99;0;91,05;127;6;133;
2025-10-14;12:00:00 - 12:30:00;GI-11;[GI-11] 247-ETD N-I-A LA GI-20, GI-11 pk 0,000, GI-11 pk 2,500;Central N-I;5;308;93;0;72,52;361;45;406;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100;Lento ANDOAIN;0;82;21;0;72,14;90;13;103;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100;Rápido ANDOAIN;0;0;151;93;115,25;222;22;244;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100;Central ANDOAIN;0;6;342;34;103,01;183;199;382;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100;Central SAN SEBASTIÁN;0;28;263;26;100,19;177;140;317;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100;Lento SAN SEBASTIÁN;1;49;68;0;84,83;102;16;118;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 259-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 164,300, A-15 pk 166,100;Rápido SAN SEBASTIÁN;0;1;115;46;111,14;149;13;162;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 315-ETD SAN SEBASTIÁN-N-I BAZKARDO, A-15 pk 158,700, A-15 pk 162,100;Central N-I BAZKARDO;0;47;243;13;96,29;259;44;303;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 315-ETD SAN SEBASTIÁN-N-I BAZKARDO, A-15 pk 158,700, A-15 pk 162,100;Lento N-I BAZKARDO;1;175;215;2;84,43;216;177;393;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 315-ETD SAN SEBASTIÁN-N-I BAZKARDO, A-15 pk 158,700, A-15 pk 162,100;Lento SAN SEBASTIÁN;0;36;148;3;93,9;150;37;187;
2025-10-14;12:00:00 - 12:30:00;A-15;[A-15] 315-ETD SAN SEBASTIÁN-N-I BAZKARDO, A-15 pk 158,700, A-15 pk 162,100;Central SAN SEBASTIÁN;0;72;287;9;94,13;268;100;368;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Central PASAIA;3;402;55;0;68,92;402;58;460;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Lento PASAIA;242;38;0;0;30,43;239;41;280;
2025-10-14;12:00:00 - 12:30:00;GI-636;[GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900;Central IRUN;4;339;36;0;67,9;336;43;379;
